50
1	59	75	1
2	94	114	3
3	20	25	1
4	93	114	3
5	45	62	1
6	21	31	1
7	25	52	1
8	19	43	1
9	10	37	1
10	19	38	1
11	44	70	1
12	19	25	1
13	84	86	0
14	73	90	1
15	62	66	10	
16	46	58	1
17	16	35	1
18	17	28	1
19	38	52	1
20	1	18	2
21	17	39	1
22	85	95	1
23	97	109	3
24	67	69	0	
25	53	57	0
26	2	14	2
27	6	26	1
28	65	86	1
29	9	36	1
30	29	36	1
31	59	88	1
32	65	89	1
33	90	113	3
34	87	98	1
35	81	108	3	
36	82	111	3
37	41	67	1
38	10	27	1
39	11	14	2
40	81	103	3
41	48	63	1
42	2	3	2
43	93	103	3
44	4	18	0
45	38	59	1
46	32	52	1
47	79	109	3
48	28	29	0
49	64	94	1
50	43	73	1
